#Table1
ra,dec,u,g,r,i,z,redshift,class
348.84109,1.268802,25.92735,20.9957,19.24612,18.56461,18.43049,0.3996509,GALAXY
348.90256,1.2718534,19.38905,18.24496,17.58728,17.20807,16.90905,0.03212454,GALAXY
15.896133,1.264846,20.14134,19.28787,19.04397,18.96897,18.79573,-0.0008209134,STAR
16.004944,1.2593887,21.50923,19.6934,18.47973,17.91998,17.55132,0.3120482,GALAXY
16.020233,1.2676576,20.96947,20.29136,19.36779,18.86387,18.45551,0.2004682,GALAXY
16.02603,1.2667703,25.27165,22.32081,21.33033,19.94852,19.47201,0.7526451,GALAXY
41.019618,1.2712745,22.64928,22.0096,20.40414,19.57801,19.20975,0.5046994,GALAXY
49.248985,1.2724177,21.41706,18.80885,17.70065,17.20334,16.81356,0.1106111,GALAXY
49.873779,1.271194,22.98776,21.34827,19.75467,19.14825,18.81528,0.2937785,GALAXY
50.234811,1.2719279,19.78651,18.34659,17.64557,17.25275,17.00746,0.07429758,GALAXY
51.443703,1.2700724,19.52808,17.96541,17.03493,16.53754,16.14154,0.1213151,GALAXY
51.483587,1.2720132,18.72268,17.3852,16.81134,16.51803,16.29502,0.04876465,GALAXY
51.47568,1.2703537,21.15835,19.97747,19.44971,19.12359,19.07743,0.0488077,GALAXY
54.928533,1.2718841,20.75028,18.53424,17.398,16.89366,16.50811,0.1317873,GALAXY
55.296217,1.2716613,20.169,20.1186,20.00968,19.54327,19.37404,1.837838,QSO
38.038135,-1.04292,19.35777,20.15456,24.80203,17.77139,18.46624,-8.357863E-05,STAR
38.052131,-1.036317,24.63467,21.49866,21.45066,19.92876,21.05994,-5.987499E-05,STAR
49.627502,-1.041756,17.65612,16.17133,15.5894,15.3785,15.26744,-9.765775E-05,STAR
40.285685,-0.71497071,17.54884,15.75164,15.031,14.66728,14.36099,0.04028672,GALAXY
40.272091,-0.642501,19.23401,17.5333,16.8743,16.63157,16.49762,-5.2202E-05,STAR
40.27787,-0.77706552,22.33754,21.00746,19.83828,19.30565,18.87624,0.3667448,GALAXY
40.284798,-0.76771355,24.21344,23.15401,21.48509,20.27396,19.88383,0.6265841,GALAXY
40.582032,0.13477009,18.64558,16.44336,15.52452,15.18185,14.98858,0.000177167,STAR
40.586648,0.087817327,21.17529,18.88593,17.84707,17.4657,17.22915,9.057564E-05,STAR
40.579342,0.1820161,23.45584,22.33025,22.16315,21.5689,21.88052,1.570202,QSO
40.579934,0.11981415,22.70307,22.00335,20.28827,19.29591,18.85664,0.5112135,GALAXY
40.584906,0.131284,23.34163,22.46378,22.20699,22.2005,22.2284,2.275885,QSO
40.581134,0.1116948,22.8178,23.30531,23.00124,22.92958,22.8532,0,GALAXY
40.587309,0.099693911,22.90015,23.03041,21.75114,20.3216,19.39912,0.6881828,GALAXY
54.55071,0.22015988,20.65226,19.77637,20.11424,19.77093,19.80214,0.04265009,GALAXY
